title,calendarium_romanum,cantus,romcal
"John XXIII, pope",john_xxiii,,popeSaintJohnXXIII
"John of Capistrano, priest",john_capistrano,14102340,saintJohnOfCapistranoPriest
"John of God, religious",john_of_god,,saintJohnOfGodReligious
"John of Kanty, priest",john_of_kanty,,saintJohnOfKantyPriest
"John of the Cross, priest and doctor",john_of_cross,,saintJohnOfTheCrossPriestAndDoctor
John the Apostle and evangelist,john_evangelist,2122700,saintJohnTheApostleAndEvangelist
"Josaphat, bishop and martyr",josaphat,,saintJosaphatBishopAndMartyr
Joseph Husband of the Blessed Virgin Mary,joseph,14031900,
"Joseph of Calasanz, priest",joseph_calasanz,,
Joseph the Worker,joseph_worker,,saintJosephTheWorker
"Josephine Bakhita, virgin",josephine_bakhita,,
Juan Diego,juan_diego,,saintJuanDiegoCuauhtlatoatzin
Justin Martyr,justin,,saintJustinMartyr
"Lawrence of Brindisi, priest and doctor",lawrence_of_brindisi,,saintLawrenceOfBrindisiPriestAndDoctor
"Lawrence, deacon and martyr",lawrence,14081000,saintLawrenceOfRomeDeaconAndMartyr
"Leo the Great, pope and doctor",leo_great,14062800,saintLeoTheGreatPopeAndDoctor
Louis,louis,14082500,saintLouisSaintJosephOfCalasanzPriest
"Louis Grignon de Montfort, priest",de_montfort,,
"Lucy of Syracuse, virgin and martyr",lucy,14121300,saintLucyOfSyracuseVirginAndMartyr
Luke the Evangelist,luke,14101800,saintLukeTheEvangelist
"Margaret Mary Alacoque, virgin",alacoque,,
Margaret of Scotland,margaret_of_scotland,,saintMargaretOfScotlandSaintGertrudeTheGreatVirgin
"Maria Goretti, virgin and martyr",goretti,,saintMariaGorettiVirginAndMartyr
Mark the Evangelist,mark,14042500,saintMarkTheEvangelist
"Martin I, pope and martyr",martin_i,14111250,saintMartinIPopeAndMartyr
"Martin de Porres, religious",de_porres,,saintMartinDePorresReligious
"Martin of Tours, bishop",martin,14111100,saintMartinOfToursBishop
Mary Magdalene,mary_magdalene,14072200,saintMaryMagdalene
"Mary Magdalene de Pazzi, virgin",de_pazzi,,
"Matthew the Evangelist, Apostle, Evangelist",matthew,14092100,saintMatthewApostleAndEvangelist
Matthias the Apostle,matthias,14022400,saintMatthiasTheApostle
"Maximilian Mary Kolbe, priest and martyr",kolbe,,saintMaximilianMaryKolbePriestAndMartyr
Monica,monica,14050440,saintMonica
"Nicholas, bishop",nicholas,14120600,saintNicholasBishop
"Norbert, bishop",norbert,,saintNorbertBishop
Our Lady of Fatima,bvm_fatima,,ourLadyOfFatima
Our Lady of Guadalupe,bvm_guadalupe,,ourLadyOfGuadalupe
Our Lady of Loreto,bvm_loreto,,ourLadyOfLoreto
Our Lady of Lourdes,bvm_lourdes,,ourLadyOfLourdes
Our Lady of Mount Carmel,bvm_mount_carmel,14071610,ourLadyOfMountCarmel
Our Lady of Sorrows,bvm_sorrows,14091550,ourLadyOfSorrows
Our Lady of the Rosary,bvm_rosary,14100730,ourLadyOfTheRosary
"Pancras, martyr",pancras,14051210,
"Patrick, bishop",patrick,,saintPatrickBishop
"Paul VI, pope",paul_vi,,
"Paul of the Cross, priest",paul_of_cross,,
